text,category
"Ruští diplomaté vypovězení ze Spojených států v reakci na otravu bývalého dvojitého agenta Sergeje Skripala a jeho dcery v Británii začali v sobotu opouštět ruské velvyslanectví ve Washingtonu. Informovala o tom agentura AFP, podle které se začalo balit také na americkém konzulátu v Petrohradu. Moskva totiž v odpovědi na vypovězení šesti desítek svých diplomatů a uzavření konzulátu v Seattlu nařídila recipročně vypovězení šedesáti amerických diplomatů z Ruska a uzavření amerického konzulátu v Petrohradu.",2
"Izrael obvinil radikální hnutí Hamás z toho, že páteční masové protesty na hranicích Pásma Gazy byly z jeho strany cílenou provokací a aktem terorismu. Během protestů na území Pásma Gazy zabila izraelská armáda 16 Palestinců, přes 1400 dalších lidí bylo zraněno. K nezávislému vyšetřování střetů vyzval generální tajemník OSN António Guterres.",2
"Italské ministerstvo zahraničí si v sobotu předvolalo francouzského velvyslance, aby vysvětlil, proč ozbrojená stráž jeho země vstoupila do budovy na italské straně. S odvoláním na zdroj z ministerstva o tom informoval Reuters. V budově nevládní organizace Rainbow4Africa provozuje kliniku, kde pomáhá migrantům. Podle Paříže měla stráž na postup právo.",2
"Pět stovek pozvaných smutečních hostů se v sobotu sešlo v kostele Panny Marie v Cambridge na pohřbu britského fyzika Stephena Hawkinga, který zemřel 14. března ve věku 76 let. Jedním ze smutečních řečníků byl i herec Eddie Redmayne, který Hawkinga ztvárnil v životopisném snímku Teorie všeho z roku 2014, informovala agentura AP.",2
"Tisíce mrtvých zvířat, poničená příroda a místní obyvatelé bez vody i obživy, to jsou důsledky ekologické katastrofy v Kolumbii, kterou způsobil únik ropy z vrtu nedaleko kolumbijského města Barrancabermeja. Uniklá ropa se dostala do řeky Magdalena, kterou kontaminovala v délce desítek kilometrů.",2
"Noční pátrací akci mají za sebou slovenští horští záchranáři v Malé Fatře. Muž a žena z České republiky v pátek večer zabloudili na uzavřeném turistickém chodníku, žena se zranila a nebyla schopná samostatně pokračovat.",2
"Soud s Češkou, která byla 10. ledna zadržena na mezinárodním letišti v pákistánském Láhauru s devíti kilogramy heroinu, bude pokračovat 10. dubna. Sobotní jednání se sice uskutečnilo, ale žádný pokrok v případu nepřineslo, řekla mluvčí českého ministerstva zahraničí Irena Valentová.",2
"Maďarský premiér Viktor Orbán (FIDESZ) týden před parlamentními volbami v zemi varoval, že má k dispozici jmenný seznam dvou tisíc „Sorosových žoldáků“, kteří bojují proti zájmům Maďarska a chtějí svrhnout vládu. Řekl to v rozhlasovém pořadu Rádia Kossuth.",2
"Rusko požaduje oficiální vysvětlení od britských úřadů, proč v pátek údajně prohledávaly letadlo společnosti Aeroflot na londýnském letišti Heathrow. Pokud ho nedostane, začnou ruské úřady dělat totéž u letadel britských aerolinek. V sobotu to uvedlo v prohlášení ruské ministerstvo dopravy.",2
"Rusko vyzvalo Británii, aby z jeho území stáhla dalších více než 50 diplomatů. Mluvčí ruského ministerstva zahraničí Marija Zacharovová řekla v sobotu agentuře Reuters, že Moskva tím vyrovnává poměr s počtem svých diplomatů působících v Británii. ",2
U prvního zraněného paraglidisty v letošním roce zasahovali v pátek odpoledne moravskoslezští záchranáři. Muž se zřítil se svým kluzákem o půl třetí v oblasti Lysé hory v Beskydech.,3
"Smrtí řidiče a zraněním trojice spolujezdců skončila vážná dopravní nehoda, která se stala v první minutě soboty. V Brně na křižovatce ulic Štefánikova a Šumavská se střetla dvě osobní auta. ",3
Dálnici D11 u Prahy zablokovala v noci na sobotu nehoda kamiónu. Jeho řidič najel v zúžení na betonová svodidla a prorazil si nádrž. Na dálnici pak vytekly desítky litrů nafty.,3
"Havárií pronásledovaného auta skončila v pátek ráno policejní honička na Českolipsku. Řidič, který nezastavil na výzvu, před policisty ujížděl asi sedm kilometrů, v zatáčce ve Cvikově pak havaroval. Z místa nehody ho museli záchranáři transportovat do nemocnice. Vůz byl s největší pravděpodobností kradený.",3
"Jednadvacetiletý muž přišel v pátek po poledni o život poté, co ho na přechodu pro chodce v Chebské ulici v Mariánských Lázních srazil řidič osobního vozu, který jel na červenou. Další chodec byl těžce zraněn.",3
Smrt 81leté ženy vyšetřují od pátečního rána policisté v Českých Budějovicích. Tragédii podle vyšetřovatelů způsobila neopatrnost seniorky při kouření. ,3
Dálnici D1 v pátek ráno na 35. kilometru ve směru do Brna na téměř tři hodiny uzavřela hromadná dopravní nehoda. Stala se v místě dopravního omezení. Po poledni se začala kolona pomalu rozjíždět. ,3
"V noci na pátek srazil nákladní vlak u Lulče na Vyškovsku ženu, na místě zemřela. Policie nehodu vyšetřuje, řekla mluvčí policie Lenka Drahokoupilová. Provoz na trati byl asi tři hodiny přerušený.",3
"Nejvyšší soud (NS) potvrdil míchačům metanolem kontaminované směsi Tomáši Křepelovi ze Zlína a Slovákovi Rudolfu Fianovi doživotní tresty vězení. Dopustili se obecného ohrožení. Pravomocný rozsudek zmiňuje nejméně 117 lidí otrávených směsí, kterou vyrobili, z nichž nejméně 38 zemřelo. Rozhodnutí NS je nově dostupné v internetové databázi.",3
